utterance	beeper	actual_app	actual_class	actual_verb	actual_operation	decision	question	expected_app	expected_class	expected_verb	verdict	route_ok	fail_kind	reason
send a message on Venmo	on	venmo	money	compose		must_ask	I don't know how to reach a message.	venmo	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
send a message on Venmo	off	venmo	money	compose		must_ask	I don't know how to reach a message.	venmo	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
send a message on Cash App	on	cashapp	money	compose		must_ask	I don't know how to reach a message.	cashapp	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
send a message on Cash App	off	cashapp	money	compose		must_ask	I don't know how to reach a message.	cashapp	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
send a message on Zelle	on	zelle	money	compose		must_ask	I don't know how to reach a message.	zelle	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
send a message on Zelle	off	zelle	money	compose		must_ask	I don't know how to reach a message.	zelle	money	compose	DEAD_END	true	empty_contacts	I don't know how to reach a message.
order something from Starbucks	on	starbucks	food	order		executed		starbucks	food	order	PASS	true		matches expected app, class, and verb
order something from Starbucks	off	starbucks	food	order		executed		starbucks	food	order	PASS	true		matches expected app, class, and verb
order something from Chipotle	on	chipotle	food	order		executed		chipotle	food	order	PASS	true		matches expected app, class, and verb
order something from Chipotle	off	chipotle	food	order		executed		chipotle	food	order	PASS	true		matches expected app, class, and verb
play something on Spotify	on	spotify	media	play		executed		spotify	media	play	PASS	true		matches expected app, class, and verb
play something on Spotify	off	spotify	media	play		executed		spotify	media	play	PASS	true		matches expected app, class, and verb
add a note in Spotify	on	spotify	media	write		executed		spotify	media	write	PASS	true		matches expected app, class, and verb
add a note in Spotify	off	spotify	media	write		executed		spotify	media	write	PASS	true		matches expected app, class, and verb
check my Audible	on	audible	media	read		executed		audible	media	read	PASS	true		matches expected app, class, and verb
check my Audible	off	audible	media	read		executed		audible	media	read	PASS	true		matches expected app, class, and verb
