ts	phase	decision	rationale	evidence
2026-08-07	A-frame	Target = green sweep on real device across every connected app x action, not just Instagram	User escalated scope 3x; final ask is full-coverage iterate-to-green	planning/ux-misroute-autodiscovery-plan.md
2026-08-07	A-frame	Money gate cleared: metered OpenAI on [redacted-email] (personal, ~$1k), keep spend reasonable	User explicit OK in autonomous mode; account named in .env	saved-results/openai-router-spend-approval-2026-08-07.md
2026-08-07	A-frame	Execution spine = existing judge-approved openai-beeper-phone-runtime-plan.md	It fixes both root causes (LLM router + Beeper read); already PASS by fresh judge	planning/openai-beeper-phone-runtime-plan.md
2026-08-07	B-harness	New sweep drives RAW utterances through real stage1/explicit -> stage2; existing eval is blind (feeds pre-recorded replies)	The blind eval is why manual spot-checking was the only thing catching these	internal/capability/routing/eval/eval.go
2026-08-07	B-harness	Router made pluggable (RouterFunc) so same sweep later points at OpenAI broker	Build the lever once; reuse for both routers	discovery/sweep.go
2026-08-07	setup	Discarded stale worktree ux-misroute-fix (branched origin/main f387fe7, predates internal/capability); rebuilt on HEAD f703613	Would have compiled all fixes against nonexistent code	git worktree add -b ux-misroute-fix2 HEAD
2026-08-07	B-harness	Harness rebuilt + self-verified: 7 tests pass, build exit 0, canary reproduces DEAD_END	Owned the delegate's work; ran tests + sweep myself	go test discovery -> 7 pass; go run route-sweep
2026-08-07	C-inventory	Connected-on-phone set = 76 deep-link apps + driven maps + Beeper triad (token present) + notif-reply; cloud tier (Slack/Notion/Cal/Drive/Outlook) nil in phone config, NOT connected	runtime.go:169 sets only Model/Logger/MapsBrokerBaseURL/BeeperAPI	extraction agent + runtime.go read
2026-08-07	C-findings	Finding 1 (orphaning) generalizes beyond Instagram: messages+discord also dead-end under Beeper-on; verb also stale (compose vs send)	Probe sweep on orphan_probe.jsonl	resolver.go:263-276
2026-08-07	C-findings	Finding 2 (bigger than canary): contact graph created empty at production.go:490, never populated -> ALL ToAPerson asks dead-end for everyone; Beeper/notif-reply skip graph	grep: only eval.go+resolver.go touch Graph; no runtime graph.Add	production.go:490, graph.go:204-222
2026-08-07	D-fix1	Chosen root-cause fix for orphaning: resolver resolves a NAMED app by its CURRENT class, not the stale route.AppClass; reconcile verb	Fixes messages/discord/instagram at once; robust to any remap	resolver.go named-adapter block
2026-08-07	B-harness	Adding routing-verdict split (stage1 graded apart from terminal decision) + dead-end sub-reasons	Otherwise "N dead-ends" is uninterpretable; must map failures to fixes	discovery/sweep.go extension
2026-08-07	C-judge	Fresh Opus judge: SIGN OFF WITH CHANGES; all 5 findings confirmed, finding 2 stronger (no Kotlin-side contact population either)	Separate-judge-defines-good rule; ran before any fix	saved-results/ux-sweep-findings-2026-08-07.md judge-audit section
2026-08-07	D-fix1-revise	Fix orphaning at SOURCE (stage1 rule-building reflects registered class), not the resolver -- avoids breaking resolver invariant resolver.go:208-210	Judge demanded; source fix is lower-risk root cause	production.go byClass vs stage1 rule sites
2026-08-07	D-fix2-reframe	Fix 2 is HandsOff fall-through, NOT populate-graph: deep-link adapter never consumes a handle, so graph resolution can only dead-end on-device	Code read adapter.go:259-307 + Intent.Subject from route (service.go:114); populate-graph is a permission surface that still cannot send	resolver.go ToAPerson branch + registry.EffectiveCeiling
2026-08-07	D-fix1-done	Fix 1 (Beeper-aware rule-building at source) landed: 211 unit tests green, sweep dead-ends 43->37, orphan_or_unnamed 6->0	Kept the resolver invariant; phonerules.Build is single source for both Beeper states	phonerules/phonerules.go + runtime.go + production.go BeeperMessagingClass
2026-08-07	D-fix2-done	Fix 2 (HandsOff fall-through) landed: sweep DEAD_END 37->0, PASS 151->188, 878 capability tests green	One guarded early-return in resolver ToAPerson branch; delegated to Sonnet, owned + verified	resolver.go:295-300
2026-08-07	E-verify	Fix 2 is executable on device, not a harness illusion: hand-off Decision carries Body=full utterance (explicit model.go:75), so adapter.Resolve gets a non-empty draft (no ErrEmptyDraft) and opens the app with "For: <person>" hint	Traced model.go:75 -> route.go:134 -> resolver.go:219 -> service.go:114 -> adapter.go:264-281	adapter.go Resolve/Preview
2026-08-07	E-boundary	Deterministic layer exhausted at 188/198. Remaining 10 misroutes are all Beeper-on and all need intent understanding the keyword substring matcher cannot do (unclear verb, unnamed app, keyword-grab); fixing them in the matcher would reintroduce finding-3 grabs. They are Workstream A (LLM router) territory	Sweep MISROUTE list 2026-08-07: 3 keyword-grab + 7 unclear-verb/unnamed-app	planning/openai-beeper-phone-runtime-plan.md
2026-08-07	F-probe	Cheap probe (10 real gpt-5.6-luna calls, ~35k tokens, [redacted-email] personal approved) confirms the LLM router premise: model understands all 10 misroutes, labels 6/10 exactly; 4 misses are coaching/alias gaps not capability (2x class messaging vs beeper_messaging, 1x reply->notification_reply, 1x app-id maps vs googlemaps)	llm-probe run 2026-08-07 05:52	saved-results/ux-sweep-findings-2026-08-07.md post-fix section
2026-08-07	F-scope	User chose FULL scope: Workstream A (LLM router on phone) + B (Beeper reads) + wire cloud tier (Slack/Notion/Calendar/Outlook onto phone runtime). Routing coaching alone would only move MISROUTE->CAPABILITY_GAP without B (adapter read) and without phone-side cloud wiring, so all three are needed to actually function	AskUserQuestion 2026-08-07	planning/openai-beeper-phone-runtime-plan.md
2026-08-07	F-prereq	Pixel connected (adb 4B230DLAQ001Z5); Beeper Desktop NOT installed on this Mac (open -a Beeper fails, :23373 unreachable) so B live-spec/smoke steps blocked here — B code still built test-first vs fake HTTP. No existing brokered OpenAI client (grep clean), so Workstream A is a clean build not a rewire	adb devices; curl :23373 -> 000; grep NewBrokered/openai_broker empty	execution start
2026-08-07	G-A2	First build unit: Go brokered stage-1 client (NewBrokered + Status + typed fail-closed errors), device-free, TDD vs httptest. Chosen first because it lands and verifies without gradle/device/Beeper	delegated Sonnet, orchestrator-specified test spec	companion/internal/capability/routing/stage1/openai/
2026-08-07	G-A2-done	Go brokered stage-1 client landed green (NewBrokered + Status + typed ErrRouterNotProvisioned/ErrRouterUnreachable); keyed New/Model byte-identical, verified by untouched pre-existing keyed test; buildRequestBody+parseResponseEnvelope shared to avoid copy-paste	Sonnet delegate, orchestrator reviewed diff + reran	go test stage1 86 pass; go test ./... 1692 pass
2026-08-07	G-A2step5	Wiring brokered client into phone-runtime as the ONLY stage-1 router (routerSource openai_broker, keyword matcher deleted from phone-runtime, fail-closed no fallback). Health probes GET /v1/broker/openai/status: keyed->openai_broker, no key->openai_broker:no_key, unreachable->openai_broker. Tests written red first (orchestrator), Sonnet implementing	4 health tests red on explicit_app vs openai_broker	internal/phoneruntime/openai_router_health_test.go
2026-08-07	G-A2step5-done	Brokered client is now the phone's ONLY stage-1 router; keyword matcher deleted from phone-runtime (explicit pkg kept for Mac). Health probes broker status live. Orchestrator reran raw-go: 4 router tests PASS, phoneruntime+stage1 ok, go test ./... 0 FAIL	Sonnet delegate, orchestrator reviewed diff + reran raw-go	internal/phoneruntime/runtime.go + openai_broker_url.go
2026-08-07	G-A2step6	Session handler maps the two typed router errors to the phone's cancelled+sentence shape (the only shape ProtocolCodec renders text for): no_key -> "router isn't set up... ask operator", unreachable -> "couldn't reach the router... try again". Only these two sentinels; every other error stays a genuine failure. Verified errors.Is survives every wrap layer (Explore map). Orchestrator wrote + implemented directly (small edit), 4 tests red->green, mobilesession pkg + go test ./... 0 FAIL	orchestrator, Explore-agent mapped the handler mechanism first	internal/app/mobilesession/handler.go + capability_router_failure_test.go
2026-08-07	G-A-goside-done	Workstream A Go side COMPLETE: on-device OpenAI broker is the phone's only stage-1 router, fails closed with user-visible sentences. Remaining for A to run live: A1 Android Kotlin loopback broker (serves /v1/broker/openai/*) + key provisioning. A1 is device/gradle-bound	milestone	go test ./... 106 ok 0 FAIL
2026-08-07	G-A1-harness	Android JVM unit tests ARE runnable device-free here: maps broker ops/vault/envelope tests live in src/test/ (not androidTest/), SDK valid at /opt/homebrew/share/android-commandlinetools. Fix: export ANDROID_HOME (local.properties alone was flaky). Trap caught: a trailing echo masked gradle's real exit — first smoke reported exit 0 but log said BUILD FAILED. Verify via BUILD line + test XML counts, never exit code alone	smoke: MapsBrokerOpsTest tests=3 failures=0, BUILD SUCCESSFUL 24 tasks executed	android/ gradlew :app:testDebugUnitTest
31	2026-08-07	G-A1-done	A1 Android broker COMPLETE (delegate died on session-limit mid-run but left coherent work; orchestrator inspected + reran). OpenAiApiKeyVault mirrors maps vault; MapsImportSession now provider-aware (routes decrypted key to maps OR openai vault by THIS device's pending provider, not the envelope's claim); OpenAiBrokerOps serves POST /v1/broker/openai/responses (bearer added, upstream verbatim) + GET status + 503 no_key; BrokerRouter path-prefix dispatch; BrokerLoopback always-on :9451 (replaces MapsBrokerLoopback.startIfKeyed) forwards to api.openai.com. Ports align 9451. Fresh compile, all broker unit tests green, maps unchanged	compileDebugKotlin ran (24 executed not cached); openai ops 6/vault 1/envelope 2/BrokerRouter 4 + maps 3/3/1 all failures=0	android broker/openai/ + broker/rpc/ + LauncherApplication.kt
32	2026-08-07	G-A-complete	Workstream A COMPLETE end-to-end: phone routes utterance to loopback :9451 to OpenAiBrokerOps to vault + api.openai.com, fails closed at every layer with user-visible sentences. OpenAI provisioning trigger is a device-bound live test (mirrors maps createOffer only-called-from-LiveMapsBrokerProofTest); that live proof is task #8, not A1 unit scope. NOT built-but-unreachable: reachability is Go router to broker to vault, vault filled by the live proof	milestone	go test ./... 106 ok (prior) + android broker suites green
33	2026-08-07	G-B-blocker	B0 live /v1/spec check BLOCKED here: Beeper Desktop unreachable on this Mac (curl :23373/v1/spec returns 000). Decision: build B1-B5 test-first vs fake HTTP against the plan's documented endpoint table (zero real Beeper calls, deterministic); mark B0 live-spec confirmation a DEFERRED gate that must run on the Beeper machine before live acceptance (task #8); version-gate risky endpoints. Existing client has SearchChats/Send/StartChat/ResolveOne/ReadOnly/do; B1 extends it	curl :23373/v1/spec returns 000; grep client.go method list	companion/internal/capability/messaging/beeper/client.go
34	2026-08-07	G-B1-read-done	B1 read side landed green: ListChats(unread filter)/ListMessages/GetChat/SearchMessages + Message + ListChatsOptions types; Chat gained UnreadCount+LastActivity. All reads work on a read-only client. Owned the delegate diff + independently reran	go test -json stage1+beeper: 82 pass actions, 0 fail	companion/internal/capability/messaging/beeper/client_read.go
35	2026-08-07	G-B3-done	B3 stage-1 landed green (orchestrator direct edit, small config/text): added nullable operation slot to namedSlots; widened beeper coaching from send-only to read (empty subject = network-wide unread scan) plus the closed 13-op manage list. Tests assert schema offers operation + coaching names read/unread/the ops, never leaks bearer/authorization	go test stage1: TestStage1SchemaOffersTheNullableOperationSlot + coaching test green	companion/internal/capability/routing/stage1/openai/client.go
36	2026-08-07	G-B1-write-run	B1 write side: orchestrator wrote client_write_test.go (11 methods: Reply/Edit/Delete/React/Unreact/MarkRead/MarkUnread/Archive/UpdateChat/SetReminder/ClearReminder), confirmed compile-red (Reply undefined), delegated impl to Sonnet. do() gains a nil-result branch so 204 No Content writes do not choke on an empty body. Reply added as its own method (Send stays a pure new-message send, callers untouched)	go vet: client.Reply undefined	companion/internal/capability/messaging/beeper/client_write_test.go
